player,round,hole,strokes,par,score
"Garcia, Nicolas",1,11,6,5,1
"Garcia, Nicolas",1,12,2,3,-1
"Garcia, Nicolas",1,13,4,4,0
"Garcia, Nicolas",1,14,4,5,-1
"Garcia, Nicolas",1,15,4,4,0
"Garcia, Nicolas",1,16,5,3,2
"Garcia, Nicolas",1,17,4,4,0
"Garcia, Nicolas",1,18,4,4,0
"Wallace, Nick",1,1,5,5,0
"Wallace, Nick",1,2,4,4,0
"Wallace, Nick",1,3,2,3,-1
"Wallace, Nick",1,4,5,4,1
"Wallace, Nick",1,5,5,4,1
"Wallace, Nick",1,6,4,4,0
"Wallace, Nick",1,7,5,5,0
"Wallace, Nick",1,8,3,3,0
"Wallace, Nick",1,9,4,4,0
"Wallace, Nick",1,10,4,4,0
"Wallace, Nick",1,11,4,5,-1
"Wallace, Nick",1,12,2,3,-1
"Wallace, Nick",1,13,3,4,-1
"Wallace, Nick",1,14,6,5,1
"Wallace, Nick",1,15,5,4,1
"Wallace, Nick",1,16,3,3,0
"Wallace, Nick",1,17,4,4,0
"Wallace, Nick",1,18,6,4,2
"Loustau, Lucas",1,1,6,5,1
"Loustau, Lucas",1,2,4,4,0
"Loustau, Lucas",1,3,4,3,1
"Loustau, Lucas",1,4,5,4,1
"Loustau, Lucas",1,5,5,4,1
"Loustau, Lucas",1,6,4,4,0
"Loustau, Lucas",1,7,5,5,0
"Loustau, Lucas",1,8,4,3,1
"Loustau, Lucas",1,9,4,4,0
"Loustau, Lucas",1,10,3,4,-1
"Loustau, Lucas",1,11,5,5,0
"Loustau, Lucas",1,12,3,3,0
"Loustau, Lucas",1,13,4,4,0
"Loustau, Lucas",1,14,5,5,0
"Loustau, Lucas",1,15,3,4,-1
"Loustau, Lucas",1,16,3,3,0
"Loustau, Lucas",1,17,3,4,-1
"Loustau, Lucas",1,18,5,4,1
"Herz, Mark",1,1,5,5,0
"Herz, Mark",1,2,4,4,0
"Herz, Mark",1,3,3,3,0
"Herz, Mark",1,4,5,4,1
"Herz, Mark",1,5,5,4,1
"Herz, Mark",1,6,4,4,0
"Herz, Mark",1,7,5,5,0
"Herz, Mark",1,8,3,3,0
"Herz, Mark",1,9,5,4,1
"Herz, Mark",1,10,3,4,-1
"Herz, Mark",1,11,5,5,0
"Herz, Mark",1,12,3,3,0
"Herz, Mark",1,13,4,4,0
"Herz, Mark",1,14,5,5,0
"Herz, Mark",1,15,4,4,0
"Herz, Mark",1,16,3,3,0
"Herz, Mark",1,17,4,4,0
"Herz, Mark",1,18,5,4,1
"Damian, Battaglia",1,1,5,5,0
"Damian, Battaglia",1,2,5,4,1
"Damian, Battaglia",1,3,4,3,1
"Damian, Battaglia",1,4,5,4,1
"Damian, Battaglia",1,5,4,4,0
"Damian, Battaglia",1,6,3,4,-1
"Damian, Battaglia",1,7,5,5,0
"Damian, Battaglia",1,8,3,3,0
"Damian, Battaglia",1,9,4,4,0
"Damian, Battaglia",1,10,4,4,0
"Damian, Battaglia",1,11,6,5,1
"Damian, Battaglia",1,12,3,3,0
"Damian, Battaglia",1,13,4,4,0
"Damian, Battaglia",1,14,5,5,0
"Damian, Battaglia",1,15,4,4,0
"Damian, Battaglia",1,16,3,3,0
"Damian, Battaglia",1,17,3,4,-1
"Damian, Battaglia",1,18,5,4,1
"McNamara, Sean",1,1,6,5,1
"McNamara, Sean",1,2,5,4,1
"McNamara, Sean",1,3,2,3,-1
"McNamara, Sean",1,4,5,4,1
"McNamara, Sean",1,5,4,4,0
"McNamara, Sean",1,6,4,4,0
"McNamara, Sean",1,7,5,5,0
"McNamara, Sean",1,8,3,3,0
"McNamara, Sean",1,9,4,4,0
"McNamara, Sean",1,10,4,4,0
"McNamara, Sean",1,11,5,5,0
"McNamara, Sean",1,12,3,3,0
"McNamara, Sean",1,13,5,4,1
"McNamara, Sean",1,14,5,5,0
"McNamara, Sean",1,15,4,4,0
"McNamara, Sean",1,16,2,3,-1
"McNamara, Sean",1,17,4,4,0
"McNamara, Sean",1,18,5,4,1
"Matteoli, Richard Zak",1,1,5,5,0
"Matteoli, Richard Zak",1,2,4,4,0
"Matteoli, Richard Zak",1,3,3,3,0
"Matteoli, Richard Zak",1,4,4,4,0
"Matteoli, Richard Zak",1,5,5,4,1
"Matteoli, Richard Zak",1,6,3,4,-1
"Matteoli, Richard Zak",1,7,5,5,0
"Matteoli, Richard Zak",1,8,4,3,1
"Matteoli, Richard Zak",1,9,4,4,0
"Matteoli, Richard Zak",1,10,4,4,0
"Matteoli, Richard Zak",1,11,6,5,1
"Matteoli, Richard Zak",1,12,3,3,0
"Matteoli, Richard Zak",1,13,6,4,2
"Matteoli, Richard Zak",1,14,6,5,1
"Matteoli, Richard Zak",1,15,3,4,-1
"Matteoli, Richard Zak",1,16,2,3,-1
"Matteoli, Richard Zak",1,17,4,4,0
"Matteoli, Richard Zak",1,18,4,4,0
"Sherman, Brian",1,1,6,5,1
"Sherman, Brian",1,2,4,4,0
"Sherman, Brian",1,3,3,3,0
"Sherman, Brian",1,4,5,4,1
"Sherman, Brian",1,5,4,4,0
"Sherman, Brian",1,6,4,4,0
"Sherman, Brian",1,7,4,5,-1
"Sherman, Brian",1,8,3,3,0
"Sherman, Brian",1,9,4,4,0
"Sherman, Brian",1,10,4,4,0
"Sherman, Brian",1,11,5,5,0
"Sherman, Brian",1,12,3,3,0
"Sherman, Brian",1,13,4,4,0
"Sherman, Brian",1,14,5,5,0
"Sherman, Brian",1,15,4,4,0
"Sherman, Brian",1,16,3,3,0
"Sherman, Brian",1,17,5,4,1
"Sherman, Brian",1,18,5,4,1
"Hartman, Ryan",1,1,6,5,1
"Hartman, Ryan",1,2,4,4,0
"Hartman, Ryan",1,3,3,3,0
"Hartman, Ryan",1,4,4,4,0
"Hartman, Ryan",1,5,5,4,1
"Hartman, Ryan",1,6,4,4,0
"Hartman, Ryan",1,7,7,5,2
"Hartman, Ryan",1,8,3,3,0
"Hartman, Ryan",1,9,4,4,0
"Hartman, Ryan",1,10,4,4,0
"Hartman, Ryan",1,11,6,5,1
"Hartman, Ryan",1,12,2,3,-1
"Hartman, Ryan",1,13,5,4,1
"Hartman, Ryan",1,14,4,5,-1
"Hartman, Ryan",1,15,4,4,0
"Hartman, Ryan",1,16,4,3,1
"Hartman, Ryan",1,17,3,4,-1
"Hartman, Ryan",1,18,4,4,0
"Barragan, Luis",1,1,5,5,0
"Barragan, Luis",1,2,5,4,1
"Barragan, Luis",1,3,3,3,0
"Barragan, Luis",1,4,4,4,0
"Barragan, Luis",1,5,4,4,0
"Barragan, Luis",1,6,5,4,1
"Barragan, Luis",1,7,5,5,0
"Barragan, Luis",1,8,4,3,1
"Barragan, Luis",1,9,4,4,0
"Barragan, Luis",1,10,4,4,0
"Barragan, Luis",1,11,6,5,1
"Barragan, Luis",1,12,2,3,-1
"Barragan, Luis",1,13,4,4,0
"Barragan, Luis",1,14,6,5,1
"Barragan, Luis",1,15,3,4,-1
"Barragan, Luis",1,16,3,3,0
"Barragan, Luis",1,17,4,4,0
"Barragan, Luis",1,18,5,4,1
"Yepez, Julio",1,1,5,5,0
"Yepez, Julio",1,2,5,4,1
"Yepez, Julio",1,3,3,3,0
"Yepez, Julio",1,4,5,4,1
"Yepez, Julio",1,5,4,4,0
"Yepez, Julio",1,6,3,4,-1
"Yepez, Julio",1,7,5,5,0
"Yepez, Julio",1,8,3,3,0
"Yepez, Julio",1,9,4,4,0
"Yepez, Julio",1,10,4,4,0
"Yepez, Julio",1,11,5,5,0
"Yepez, Julio",1,12,3,3,0
"Yepez, Julio",1,13,4,4,0
"Yepez, Julio",1,14,6,5,1
"Yepez, Julio",1,15,4,4,0
"Yepez, Julio",1,16,4,3,1
"Yepez, Julio",1,17,4,4,0
"Yepez, Julio",1,18,5,4,1
"Fulling, Bryan",1,1,5,5,0
"Fulling, Bryan",1,2,4,4,0
"Fulling, Bryan",1,3,2,3,-1
"Fulling, Bryan",1,4,5,4,1
"Fulling, Bryan",1,5,5,4,1
"Fulling, Bryan",1,6,4,4,0
"Fulling, Bryan",1,7,5,5,0
"Fulling, Bryan",1,8,4,3,1
"Fulling, Bryan",1,9,7,4,3
"Fulling, Bryan",1,10,4,4,0
"Fulling, Bryan",1,11,6,5,1
"Fulling, Bryan",1,12,3,3,0
"Fulling, Bryan",1,13,4,4,0
"Fulling, Bryan",1,14,5,5,0
"Fulling, Bryan",1,15,3,4,-1
"Fulling, Bryan",1,16,2,3,-1
"Fulling, Bryan",1,17,4,4,0
"Fulling, Bryan",1,18,5,4,1
"Pugh, Chandler",1,1,5,5,0
"Pugh, Chandler",1,2,4,4,0
"Pugh, Chandler",1,3,4,3,1
"Pugh, Chandler",1,4,5,4,1
"Pugh, Chandler",1,5,6,4,2
"Pugh, Chandler",1,6,4,4,0
"Pugh, Chandler",1,7,5,5,0
