player,round,hole,strokes,par,yds,score,time
"David, Thomas",1,11,4,5,259,-1,09:00:00
"David, Thomas",1,12,3,3,96,0,09:15:00
"David, Thomas",1,13,4,4,162,0,09:30:00
"David, Thomas",1,14,4,5,250,-1,09:45:00
"David, Thomas",1,15,5,4,230,1,10:00:00
"David, Thomas",1,16,4,4,144,0,10:15:00
"David, Thomas",1,17,4,4,235,0,10:30:00
"David, Thomas",1,18,3,3,95,0,10:45:00
"Leffler, Ruben",1,1,7,4,235,3,12:40:00
"Leffler, Ruben",1,2,4,4,215,0,12:55:00
"Leffler, Ruben",1,3,3,4,289,-1,13:10:00
"Leffler, Ruben",1,4,6,5,301,1,13:25:00
"Leffler, Ruben",1,5,4,3,100,1,09:10:00
"Leffler, Ruben",1,6,5,5,246,0,09:25:00
"Leffler, Ruben",1,7,4,4,200,0,09:40:00
"Leffler, Ruben",1,8,4,3,135,1,09:55:00
"Leffler, Ruben",1,9,4,4,267,0,10:10:00
"Leffler, Ruben",1,10,5,4,225,1,10:25:00
"Leffler, Ruben",1,11,4,5,259,-1,10:40:00
"Leffler, Ruben",1,12,3,3,96,0,10:55:00
"Leffler, Ruben",1,13,4,4,162,0,11:10:00
"Leffler, Ruben",1,14,4,5,250,-1,11:25:00
"Leffler, Ruben",1,15,4,4,230,0,11:40:00
"Leffler, Ruben",1,16,4,4,144,0,11:55:00
"Leffler, Ruben",1,17,4,4,235,0,12:10:00
"Leffler, Ruben",1,18,3,3,95,0,12:25:00
"Richardson, Nick",1,1,6,4,235,2,09:45:00
"Richardson, Nick",1,2,5,4,215,1,10:00:00
"Richardson, Nick",1,3,2,4,289,-2,10:15:00
"Richardson, Nick",1,4,5,5,301,0,10:30:00
"Richardson, Nick",1,5,3,3,100,0,10:45:00
"Richardson, Nick",1,6,5,5,246,0,11:00:00
"Richardson, Nick",1,7,7,4,200,3,11:15:00
"Richardson, Nick",1,8,3,3,135,0,11:30:00
"Richardson, Nick",1,9,5,4,267,1,11:45:00
"Richardson, Nick",1,10,3,4,225,-1,12:00:00
"Richardson, Nick",1,11,3,5,259,-2,12:15:00
