player,round,hole,strokes,par,score
"DeTranquilli, Nikko",1,3,4,3,1
"DeTranquilli, Nikko",1,4,4,4,0
"DeTranquilli, Nikko",1,5,3,4,-1
"DeTranquilli, Nikko",1,6,3,4,-1
"DeTranquilli, Nikko",1,7,3,3,0
"DeTranquilli, Nikko",1,8,5,4,1
"DeTranquilli, Nikko",1,9,4,5,-1
"DeTranquilli, Nikko",1,10,4,4,0
"DeTranquilli, Nikko",1,11,4,4,0
"DeTranquilli, Nikko",1,12,3,3,0
"DeTranquilli, Nikko",1,13,3,4,-1
"DeTranquilli, Nikko",1,14,6,5,1
"DeTranquilli, Nikko",1,15,4,4,0
"DeTranquilli, Nikko",1,16,5,4,1
"DeTranquilli, Nikko",1,17,4,5,-1
"DeTranquilli, Nikko",1,18,3,3,0
"Vazquez, Jorge",1,1,4,5,-1
"Vazquez, Jorge",1,2,5,4,1
"Vazquez, Jorge",1,3,4,3,1
"Vazquez, Jorge",1,4,4,4,0
"Vazquez, Jorge",1,5,4,4,0
"Vazquez, Jorge",1,6,3,4,-1
"Vazquez, Jorge",1,7,3,3,0
"Vazquez, Jorge",1,8,5,4,1
"Vazquez, Jorge",1,9,4,5,-1
"Vazquez, Jorge",1,10,4,4,0
"Vazquez, Jorge",1,11,3,4,-1
"Vazquez, Jorge",1,12,4,3,1
"Vazquez, Jorge",1,13,4,4,0
"Vazquez, Jorge",1,14,6,5,1
"Vazquez, Jorge",1,15,4,4,0
"Vazquez, Jorge",1,16,6,4,2
"Vazquez, Jorge",1,17,6,5,1
"Vazquez, Jorge",1,18,3,3,0
"Khatib, Ramzey",1,1,3,5,-2
"Khatib, Ramzey",1,2,5,4,1
"Khatib, Ramzey",1,3,4,3,1
"Khatib, Ramzey",1,4,6,4,2
"Khatib, Ramzey",1,5,4,4,0
"Khatib, Ramzey",1,6,3,4,-1
"Khatib, Ramzey",1,7,3,3,0
"Khatib, Ramzey",1,8,5,4,1
"Khatib, Ramzey",1,9,5,5,0
"Khatib, Ramzey",1,10,3,4,-1
"Khatib, Ramzey",1,11,3,4,-1
"Khatib, Ramzey",1,12,2,3,-1
"Khatib, Ramzey",1,13,4,4,0
"Khatib, Ramzey",1,14,5,5,0
"Khatib, Ramzey",1,15,5,4,1
"Khatib, Ramzey",1,16,4,4,0
"Khatib, Ramzey",1,17,6,5,1
"Khatib, Ramzey",1,18,3,3,0
"Salazar, Lizandro",1,1,4,5,-1
"Salazar, Lizandro",1,2,5,4,1
"Salazar, Lizandro",1,3,4,3,1
"Salazar, Lizandro",1,4,4,4,0
"Salazar, Lizandro",1,5,4,4,0
"Salazar, Lizandro",1,6,3,4,-1
"Salazar, Lizandro",1,7,4,3,1
"Salazar, Lizandro",1,8,4,4,0
"Salazar, Lizandro",1,9,3,5,-2
"Salazar, Lizandro",1,10,4,4,0
"Salazar, Lizandro",1,11,3,4,-1
"Salazar, Lizandro",1,12,3,3,0
"Salazar, Lizandro",1,13,3,4,-1
"Salazar, Lizandro",1,14,5,5,0
"Salazar, Lizandro",1,15,4,4,0
"Salazar, Lizandro",1,16,4,4,0
"Salazar, Lizandro",1,17,5,5,0
"Salazar, Lizandro",1,18,3,3,0
"Matteoli, Richard Zak",1,1,5,5,0
"Matteoli, Richard Zak",1,2,5,4,1
"Matteoli, Richard Zak",1,3,3,3,0
"Matteoli, Richard Zak",1,4,4,4,0
"Matteoli, Richard Zak",1,5,4,4,0
"Matteoli, Richard Zak",1,6,3,4,-1
"Matteoli, Richard Zak",1,7,4,3,1
"Matteoli, Richard Zak",1,8,4,4,0
